region_name,year,month,avg_new_positives,vaccination
Sicilia,2022,3,4857.99,1212959.0
Toscana,2022,3,4143.412234042553,970705.0
Umbria,2022,3,1597.535294117647,225236.0
Valle d'Aosta,2022,3,55.61244019138756,31723.0
Veneto,2022,3,6131.670822942643,1226059.0
Abruzzo,2022,4,2067.7237762237764,332637.0
Basilicata,2022,4,764.1666666666666,148466.0
Calabria,2022,4,2180.8381877022653,476902.0
Campania,2022,4,6911.720797720798,1403025.0
Emilia-Romagna,2022,4,4326.615853658536,1126062.0
Friuli Venezia Giulia,2022,4,1028.7246963562752,299181.0
Lazio,2022,4,6597.904255319149,1527945.0
Liguria,2022,4,1452.5673076923076,411284.0
Lombardia,2022,4,7721.122340425532,2562236.0
Marche,2022,4,1880.6188925081433,376516.0
Molise,2022,4,369.20975609756096,81550.0
Piemonte,2022,4,3212.3434065934066,1101703.0
Puglia,2022,4,5232.985964912281,1023899.0
Sardegna,2022,4,1702.2839116719242,448981.0
Sicilia,2022,4,4022.961432506887,1213667.0
Toscana,2022,4,3979.881967213115,971018.0
Umbria,2022,4,1198.275,225309.0
Valle d'Aosta,2022,4,80.13103448275862,31735.0
Veneto,2022,4,6987.9830028328615,1226436.0
Abruzzo,2022,5,1041.8656126482213,332670.0
Basilicata,2022,5,344.30263157894734,148480.0
Calabria,2022,5,1041.4710144927535,476953.0
Campania,2022,5,3541.094155844156,1403208.0
Emilia-Romagna,2022,5,2446.400662251656,1126229.0
Friuli Venezia Giulia,2022,5,548.4439834024896,299244.0
Lazio,2022,5,3071.0084985835692,1528155.0
Liguria,2022,5,753.6689419795222,411377.0
Lombardia,2022,5,4162.819371727749,2562509.0
Marche,2022,5,967.3169014084507,376555.0
Molise,2022,5,183.92777777777778,81554.0
Piemonte,2022,5,1749.593023255814,1101878.0
Puglia,2022,5,2230.462365591398,1023982.0
Sardegna,2022,5,1099.799107142857,449011.0
Sicilia,2022,5,2250.745614035088,1213837.0
Toscana,2022,5,1790.0918727915193,971150.0
Umbria,2022,5,602.0955056179776,225339.0
Valle d'Aosta,2022,5,61.285714285714285,31738.0
Veneto,2022,5,3289.5415384615385,1226576.0
Abruzzo,2022,6,915.8371040723982,332693.0
Basilicata,2022,6,310.7736842105263,148492.0
Calabria,2022,6,925.6566523605151,476997.0
Campania,2022,6,3688.1176470588234,1403350.0
Emilia-Romagna,2022,6,2938.5236363636363,1126302.0
Friuli Venezia Giulia,2022,6,805.265306122449,299276.0
Lazio,2022,6,4485.488745980708,1528284.0
Liguria,2022,6,866.3255813953489,411444.0
Lombardia,2022,6,5461.669811320755,2562694.0
Marche,2022,6,866.424,376579.0
Molise,2022,6,162.43225806451613,81558.0
Piemonte,2022,6,1855.976821192053,1101972.0
Puglia,2022,6,2587.2881355932204,1024026.0
Sardegna,2022,6,1301.5855263157894,449024.0
Sicilia,2022,6,2845.6220735785955,1213970.0
Toscana,2022,6,2178.3715415019765,971212.0
Umbria,2022,6,620.7046979865772,225352.0
Valle d'Aosta,2022,6,49.76086956521739,31738.0
Veneto,2022,6,4222.134328358209,1226665.0
Abruzzo,2022,7,2497.8081395348836,332726.0
Basilicata,2022,7,865.1366120218579,148501.0
Calabria,2022,7,2676.193939393939,477033.0
Campania,2022,7,9371.33984375,1403479.0
Emilia-Romagna,2022,7,6234.504854368932,1126398.0
Friuli Venezia Giulia,2022,7,1813.954248366013,299317.0
Lazio,2022,7,7790.201342281879,1528435.0
Liguria,2022,7,1978.0585106382978,411527.0
Lombardia,2022,7,10486.053846153845,2562927.0
Marche,2022,7,2525.4915966386557,376596.0
Molise,2022,7,366.38378378378377,81562.0
Piemonte,2022,7,4302.296803652968,1102070.0
Puglia,2022,7,6610.0,1024148.0
Sardegna,2022,7,2120.6685393258426,449050.0
Sicilia,2022,7,6053.087336244542,1214089.0
Toscana,2022,7,4364.127551020408,971342.0
Umbria,2022,7,1457.9886363636363,225369.0
Valle d'Aosta,2022,7,156.0990990990991,31741.0
Veneto,2022,7,9439.868932038835,1226792.0
Abruzzo,2022,8,1117.9767441860465,332752.0
Basilicata,2022,8,291.1165644171779,148508.0
Calabria,2022,8,1417.989247311828,477059.0
Campania,2022,8,2465.9240506329115,1403539.0
Emilia-Romagna,2022,8,2121.8224852071007,1126488.0
Friuli Venezia Giulia,2022,8,824.9655172413793,299359.0
Lazio,2022,8,2199.735294117647,1528535.0
Liguria,2022,8,872.1899441340782,411587.0
Lombardia,2022,8,3502.516587677725,2563055.0
Marche,2022,8,976.2616033755274,376616.0
Molise,2022,8,160.39285714285714,81565.0
Piemonte,2022,8,1555.86875,1102145.0
Puglia,2022,8,1823.3309859154929,1024206.0
Sardegna,2022,8,751.3233082706766,449063.0
Sicilia,2022,8,2050.8076923076924,1214144.0
Toscana,2022,8,1349.0745341614906,971442.0
Umbria,2022,8,516.5245901639345,225392.0
Valle d'Aosta,2022,8,58.11570247933884,31745.0
Veneto,2022,8,3867.245398773006,1226866.0
Abruzzo,2022,9,717.6127167630058,332756.0
Basilicata,2022,9,177.2074074074074,148511.0
Calabria,2022,9,678.2243902439025,477068.0
Campania,2022,9,1629.7971698113208,1403580.0
Emilia-Romagna,2022,9,1528.7755102040817,1126541.0
Friuli Venezia Giulia,2022,9,659.3392857142857,299377.0
Lazio,2022,9,1795.9868421052631,1528602.0
Liguria,2022,9,560.0503597122303,411622.0
Lombardia,2022,9,3614.6989247311826,2563174.0
Marche,2022,9,626.6448598130842,376627.0
Molise,2022,9,98.06962025316456,81567.0
Piemonte,2022,9,1655.7191780821918,1102207.0
Puglia,2022,9,883.7777777777778,1024232.0
Sardegna,2022,9,359.60869565217394,449075.0
Sicilia,2022,9,989.839378238342,1214177.0
Toscana,2022,9,1084.9872611464968,971497.0
Umbria,2022,9,456.3416149068323,225402.0
Valle d'Aosta,2022,9,38.09090909090909,31746.0
Veneto,2022,9,3480.5753424657532,1226920.0
Abruzzo,2022,10,964.4009433962265,332760.0
Basilicata,2022,10,172.2408376963351,148513.0
